Altium Designer Pick and Place Locations
E:\eHorglass\1.Hardware\eHorglass-PRJ\Project Outputs for eHorglass\Pick Place for eHorglass.csv

========================================================================================================================
File Design Information:

Date:       26/02/24
Time:       15:59
Revision:   7d12eba7fbdf2646bbd708ec8c3217afb0b22985
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R4","10K","BottomLayer","R0603_M","433.071","354.327","90","贴片电阻"
"R3","1K","BottomLayer","R0603_M","787.405","314.961","180","贴片电阻"
"R2","2K","BottomLayer","R0603_M","1062.992","629.924","270","贴片电阻"
"R1","1K","BottomLayer","R0603_M","787.405","377.953","180","贴片电阻"
"Q1","AO3401","BottomLayer","SOT23-3N","590.551","511.811","180","P沟道 30V/4.2A"
"LED2","GREEN","BottomLayer","LED0603_G","895.000","59.053","0","贴片LED"
"LED1","RED","BottomLayer","LED0603_R","754.997","59.057","0","贴片LED"
"LD2","1588A","TopLayer","LED_8*8-32-FH","905.513","2716.535","45","共阴单色LED8*8点阵屏"
"LD1","1588A","TopLayer","LED_8*8-32-FH","905.513","905.511","45","共阴单色LED8*8点阵屏"
"IC1","TP4056","BottomLayer","SOIC-8_EP","866.142","590.551","180","锂电池充电管理"
"D2","1N5819","BottomLayer","SOD-323","590.551","393.701","0","肖特基二极管"
"D1","1N5819","BottomLayer","SOD-323","590.551","314.961","0","肖特基二极管"
"C19","100nF","BottomLayer","C0603_M","433.068","496.063","0","贴片电容/MLCC电容"
"C18","100nF","BottomLayer","C0603_M","433.068","685.039","0","贴片电容/MLCC电容"
"C17","100nF","BottomLayer","C0603_M","714.998","2235.002","315","贴片电容/MLCC电容"
"C16","100nF","BottomLayer","C0603_M","804.998","2145.002","315","贴片电容/MLCC电容"
"C15","100nF","BottomLayer","C0603_M","1220.476","338.583","180","贴片电容/MLCC电容"
"C14","100nF","BottomLayer","C0603_M","1062.992","118.113","270","贴片电容/MLCC电容"
"C13","10uF","BottomLayer","C0603_M","1014.998","2500.002","315","贴片电容/MLCC电容"
"C12","10uF","BottomLayer","C0603_M","149.609","2881.892","225","贴片电容/MLCC电容"
"C11","100nF","BottomLayer","C0603_M","196.853","2834.648","225","贴片电容/MLCC电容"
"C10","10uF","BottomLayer","C0603_M","937.011","1598.425","180","贴片电容/MLCC电容"
"C9","100nF","BottomLayer","C0603_M","937.011","1535.433","180","贴片电容/MLCC电容"
"C2","10uF","BottomLayer","C0603_M","787.405","440.945","180","贴片电容/MLCC电容"
"C1","10uF","BottomLayer","C0603_M","944.879","440.945","0","贴片电容/MLCC电容"
